,R_fighter,B_fighter,Referee,date,location,Winner,weight_class,R_age,B_age,R_Stance,B_Stance,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,B_Weight_lbs,R_Weight_lbs,R_current_win_streak,B_current_win_streak,R_wins,R_losses,B_wins,B_losses
2678,Ronda Rousey,Bethe Correia,John McCarthy,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,WomenBantamweight,28.0,32.0,Orthodox,Orthodox,170.18,165.1,167.64,162.56,135.0,135.0,5,3,5,0,3,0
2679,Stefan Struve,Antonio Rodrigo Nogueira,Herb Dean,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Heavyweight,27.0,39.0,Orthodox,Orthodox,210.82,190.5,213.36,195.58,240.0,265.0,0,2,9,5,5,5
2680,Antonio Silva,Soa Palelei,John McCarthy,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Heavyweight,35.0,38.0,Orthodox,Orthodox,193.04,193.04,208.28,205.74,265.0,264.0,0,0,2,5,4,2
2681,Glaico Franca Moreira,Fernando Bruno,Herb Dean,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Lightweight,24.0,33.0,Orthodox,,182.88,167.64,195.58,,145.0,155.0,0,0,0,0,0,0
2682,Claudia Gadelha,Jessica Aguilar,Mario Yamasaki,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,WomenStrawweight,26.0,33.0,Orthodox,Orthodox,162.56,160.02,160.02,160.02,115.0,115.0,1,0,1,1,0,0
2683,Mauricio Rua,Rogerio Nogueira,Mario Yamasaki,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,LightHeavyweight,33.0,39.0,Orthodox,Southpaw,185.42,187.96,193.04,190.5,205.0,205.0,0,2,6,8,4,3
2684,Reginaldo Vieira,Dileno Lopes,Osiris Maia,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Bantamweight,32.0,30.0,Orthodox,,170.18,165.1,165.1,,135.0,135.0,0,0,0,0,0,0
2685,Rafael Cavalcante,Patrick Cummins,Mario Yamasaki,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,LightHeavyweight,35.0,34.0,Orthodox,Orthodox,185.42,187.96,187.96,193.04,205.0,205.0,0,0,1,2,3,2
2686,Iuri Alcantara,Leandro Issa,Osiris Maia,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Bantamweight,34.0,31.0,Southpaw,Orthodox,175.26,170.18,180.34,175.26,135.0,135.0,2,0,6,4,2,1
2687,Warlley Alves,Nordine Taleb,John McCarthy,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Welterweight,24.0,34.0,Orthodox,Orthodox,180.34,185.42,182.88,187.96,170.0,170.0,2,3,2,0,3,0
2688,Vitor Miranda,Clint Hester,Herb Dean,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Middleweight,36.0,28.0,Orthodox,Orthodox,185.42,187.96,195.58,195.58,205.0,185.0,0,4,1,1,4,1
2689,Hugo Viana,Guido Cannetti,Osiris Maia,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Bantamweight,32.0,35.0,Orthodox,Southpaw,167.64,167.64,170.18,172.72,135.0,135.0,2,0,3,2,0,1
2690,Edson Barboza,Paul Felder,Robert Madrigal,2015-07-25,"Chicago, Illinois, USA",Red,Lightweight,29.0,31.0,Orthodox,Orthodox,180.34,180.34,190.5,177.8,155.0,145.0,4,2,9,3,2,0
2691,Joe Lauzon,Takanori Gomi,Herb Dean,2015-07-25,"Chicago, Illinois, USA",Red,Lightweight,31.0,36.0,Orthodox,Southpaw,177.8,170.18,180.34,177.8,155.0,155.0,3,0,11,7,4,5
2692,Jim Miller,Danny Castillo,Herb Dean,2015-07-25,"Chicago, Illinois, USA",Red,Lightweight,31.0,35.0,Southpaw,Orthodox,172.72,175.26,180.34,180.34,155.0,155.0,2,1,13,6,7,5
2693,Gian Villante,Tom Lawlor,Robert Madrigal,2015-07-25,"Chicago, Illinois, USA",Blue,LightHeavyweight,29.0,32.0,Orthodox,Southpaw,190.5,182.88,193.04,187.96,205.0,230.0,0,2,3,2,5,4
2694,Eddie Wineland,Bryan Caraway,Yves Lavigne,2015-07-25,"Chicago, Illinois, USA",Blue,Bantamweight,31.0,30.0,Orthodox,Orthodox,170.18,172.72,175.26,172.72,135.0,135.0,0,2,3,4,4,2
2695,TJ Dillashaw,Renan Barao,Herb Dean,2015-07-25,"Chicago, Illinois, USA",Red,Bantamweight,29.0,28.0,Orthodox,Orthodox,167.64,167.64,170.18,177.8,145.0,125.0,0,7,7,2,8,1
2696,Kenny Robertson,Ben Saunders,Otto Torriero,2015-07-25,"Chicago, Illinois, USA",Blue,Welterweight,31.0,32.0,Orthodox,Orthodox,177.8,187.96,187.96,195.58,170.0,170.0,0,3,4,3,6,3
2697,Miesha Tate,Jessica Eye,Yves Lavigne,2015-07-25,"Chicago, Illinois, USA",Red,WomenBantamweight,28.0,28.0,Orthodox,Orthodox,167.64,167.64,167.64,167.64,125.0,135.0,0,0,3,2,1,2
2698,Daron Cruickshank,James Krause,Robert Madrigal,2015-07-25,"Chicago, Illinois, USA",Blue,Lightweight,30.0,29.0,Switch,Orthodox,172.72,187.96,182.88,185.42,170.0,155.0,2,1,6,5,2,3
2699,Zak Cummings,Dominique Steele,Otto Torriero,2015-07-25,"Chicago, Illinois, USA",Red,Middleweight,30.0,27.0,Southpaw,Orthodox,182.88,177.8,190.5,187.96,170.0,185.0,2,0,2,1,0,0
2700,Jessamyn Duke,Elizabeth Phillips,Herb Dean,2015-07-25,"Chicago, Illinois, USA",Blue,WomenBantamweight,29.0,28.0,Orthodox,Orthodox,180.34,167.64,185.42,165.1,135.0,135.0,1,0,1,2,0,2
2701,Ramsey Nijem,Andrew Holbrook,Yves Lavigne,2015-07-25,"Chicago, Illinois, USA",Blue,Lightweight,27.0,29.0,Orthodox,Southpaw,180.34,180.34,190.5,177.8,155.0,155.0,0,0,5,4,0,0
2702,Leon Edwards,Pawel Pawlak,Leon Roberts,2015-07-18,"Glasgow, Scotland, United Kingdom",Red,Welterweight,23.0,26.0,Southpaw,Orthodox,187.96,182.88,187.96,185.42,170.0,170.0,0,0,1,1,1,1
2703,Joanne Calderwood,Cortney Casey,Grant Waterman,2015-07-18,"Glasgow, Scotland, United Kingdom",Red,WomenStrawweight,29.0,28.0,Orthodox,Orthodox,167.64,170.18,165.1,170.18,125.0,125.0,1,0,1,1,0,0
2704,Joe Duffy,Ivan Jorge,Neil Hall,2015-07-18,"Glasgow, Scotland, United Kingdom",Red,Lightweight,27.0,34.0,Orthodox,Orthodox,177.8,175.26,185.42,185.42,155.0,155.0,1,1,1,0,2,1
2705,Ross Pearson,Evan Dunham,Marc Goddard,2015-07-18,"Glasgow, Scotland, United Kingdom",Blue,Lightweight,30.0,33.0,Orthodox,Southpaw,172.72,177.8,175.26,177.8,155.0,155.0,3,4,9,6,8,6
2706,Paddy Holohan,Vaughan Lee,Neil Hall,2015-07-18,"Glasgow, Scotland, United Kingdom",Red,Flyweight,27.0,32.0,Orthodox,Orthodox,177.8,167.64,175.26,167.64,125.0,125.0,1,0,2,1,3,4
2707,Michael Bisping,Thales Leites,Leon Roberts,2015-07-18,"Glasgow, Scotland, United Kingdom",Red,Middleweight,36.0,33.0,Orthodox,Orthodox,185.42,185.42,190.5,198.12,185.0,185.0,4,0,16,7,10,3
2708,Stevie Ray,Leonardo Mafra,Marc Goddard,2015-07-18,"Glasgow, Scotland, United Kingdom",Red,Lightweight,25.0,26.0,Southpaw,Orthodox,177.8,177.8,177.8,177.8,155.0,155.0,1,0,1,0,1,2
2709,Ilir Latifi,Hans Stringer,Grant Waterman,2015-07-18,"Glasgow, Scotland, United Kingdom",Red,LightHeavyweight,31.0,28.0,Orthodox,Orthodox,177.8,190.5,185.42,,205.0,205.0,0,1,2,2,1,1
2710,Mickael Lebout,Teemu Packalen,Leon Roberts,2015-07-18,"Glasgow, Scotland, United Kingdom",Red,Lightweight,27.0,28.0,Orthodox,Orthodox,180.34,185.42,185.42,190.5,155.0,155.0,0,0,0,1,0,0
2711,Robert Whiteford,Paul Redmond,Marc Goddard,2015-07-18,"Glasgow, Scotland, United Kingdom",Red,Featherweight,32.0,28.0,Southpaw,Orthodox,175.26,177.8,175.26,,145.0,145.0,0,0,1,1,0,1
2712,Daniel Omielanczuk,Chris de la Rocha,Grant Waterman,2015-07-18,"Glasgow, Scotland, United Kingdom",Red,Heavyweight,32.0,36.0,Southpaw,Orthodox,182.88,190.5,187.96,203.2,250.0,247.0,1,0,1,2,0,0
2713,Marcus Brimage,Jimmie Rivera,Neil Hall,2015-07-18,"Glasgow, Scotland, United Kingdom",Blue,Bantamweight,30.0,26.0,Southpaw,Orthodox,162.56,162.56,180.34,172.72,135.0,135.0,3,0,4,3,0,0
2714,Sam Sicilia,Yaotzin Meza,Jason Herzog,2015-07-15,"San Diego, California, USA",Red,Featherweight,29.0,34.0,Orthodox,Orthodox,172.72,175.26,170.18,180.34,145.0,145.0,1,0,4,4,2,3
2715,Alan Jouban,Matt Dwyer,Herb Dean,2015-07-15,"San Diego, California, USA",Red,Welterweight,33.0,25.0,Southpaw,Orthodox,182.88,193.04,185.42,193.04,170.0,170.0,1,0,2,1,1,1
2716,Jessica Andrade,Sarah Moras,John McCarthy,2015-07-15,"San Diego, California, USA",Red,WomenBantamweight,23.0,27.0,Orthodox,Orthodox,154.94,170.18,157.48,170.18,135.0,115.0,0,1,3,2,1,0
2717,Kevin Lee,James Moontasri,John McCarthy,2015-07-15,"San Diego, California, USA",Red,Lightweight,22.0,27.0,Orthodox,Switch,175.26,177.8,195.58,180.34,170.0,170.0,0,0,3,1,1,1
2718,Josh Thomson,Tony Ferguson,Herb Dean,2015-07-15,"San Diego, California, USA",Blue,Lightweight,36.0,31.0,Orthodox,Orthodox,177.8,180.34,180.34,193.04,155.0,155.0,2,3,3,3,8,1
2719,Scott Jorgensen,Manvel Gamburyan,Herb Dean,2015-07-15,"San Diego, California, USA",Blue,Bantamweight,32.0,34.0,Orthodox,Orthodox,165.1,165.1,167.64,170.18,135.0,135.0,2,0,4,6,5,7
2720,Holly Holm,Marion Reneau,Jason Herzog,2015-07-15,"San Diego, California, USA",Red,WomenBantamweight,33.0,38.0,Southpaw,Orthodox,172.72,167.64,175.26,172.72,135.0,135.0,1,2,1,0,2,0
2721,Frank Mir,Todd Duffee,John McCarthy,2015-07-15,"San Diego, California, USA",Red,Heavyweight,36.0,29.0,Southpaw,Orthodox,190.5,190.5,200.66,198.12,260.0,264.0,2,1,15,9,3,1
2722,Rani Yahya,Masanori Kanehara,Jason Herzog,2015-07-15,"San Diego, California, USA",Red,Bantamweight,30.0,32.0,Orthodox,Orthodox,167.64,170.18,170.18,170.18,135.0,135.0,1,1,5,3,1,0
2723,Andrew Craig,Lyman Good,Jason Herzog,2015-07-15,"San Diego, California, USA",Blue,Welterweight,29.0,30.0,Orthodox,Orthodox,185.42,182.88,193.04,187.96,170.0,170.0,2,0,3,3,0,0
2724,Igor Araujo,Sean Strickland,John McCarthy,2015-07-15,"San Diego, California, USA",Blue,Welterweight,34.0,24.0,Orthodox,Orthodox,185.42,185.42,195.58,193.04,185.0,170.0,2,2,2,1,2,1
2725,Kevin Casey,Ildemar Alcantara,Herb Dean,2015-07-15,"San Diego, California, USA",Red,Middleweight,34.0,32.0,Southpaw,Orthodox,180.34,187.96,195.58,198.12,185.0,185.0,0,2,0,2,4,2
2726,Maximo Blanco,Mike de la Torre,Yves Lavigne,2015-07-12,"Las Vegas, Nevada, USA",Red,Featherweight,31.0,28.0,Orthodox,Orthodox,172.72,180.34,180.34,180.34,145.0,145.0,0,0,3,3,1,2
2727,Jorge Masvidal,Cezar Ferreira,John McCarthy,2015-07-12,"Las Vegas, Nevada, USA",Red,Welterweight,30.0,30.0,Orthodox,Southpaw,180.34,185.42,187.96,198.12,185.0,170.0,2,3,5,2,4,2
2728,Josh Samman,Caio Magalhaes,John McCarthy,2015-07-12,"Las Vegas, Nevada, USA",Red,Middleweight,27.0,27.0,Orthodox,Orthodox,190.5,185.42,200.66,185.42,185.0,185.0,2,0,2,0,4,1
2729,Angela Magana,Michelle Waterson,Herb Dean,2015-07-12,"Las Vegas, Nevada, USA",Blue,WomenStrawweight,31.0,29.0,Orthodox,Orthodox,154.94,160.02,165.1,157.48,115.0,115.0,0,0,0,1,0,0
2730,Jake Ellenberger,Stephen Thompson,John McCarthy,2015-07-12,"Las Vegas, Nevada, USA",Blue,Welterweight,30.0,32.0,Orthodox,Orthodox,175.26,182.88,180.34,190.5,170.0,170.0,0,1,9,5,5,1
2731,Kamaru Usman,Hayder Hassan,Herb Dean,2015-07-12,"Las Vegas, Nevada, USA",Red,Welterweight,28.0,32.0,Switch,,182.88,177.8,193.04,,170.0,170.0,0,0,0,0,0,0
2732,Russell Doane,Jerrod Sanders,Herb Dean,2015-07-12,"Las Vegas, Nevada, USA",Blue,Bantamweight,28.0,35.0,Orthodox,Orthodox,170.18,172.72,177.8,182.88,135.0,135.0,2,0,2,1,0,2
2733,Michael Graves,Vicente Luque,Yves Lavigne,2015-07-12,"Las Vegas, Nevada, USA",Red,Welterweight,24.0,23.0,Orthodox,Orthodox,177.8,180.34,180.34,190.5,170.0,170.0,0,0,0,0,0,0
2734,Darrell Montague,Willie Gates,Kim Winslow,2015-07-12,"Las Vegas, Nevada, USA",Blue,Flyweight,27.0,28.0,Southpaw,Orthodox,167.64,172.72,170.18,182.88,125.0,125.0,0,0,0,2,0,1
2735,George Sullivan,Dominic Waters,Yves Lavigne,2015-07-12,"Las Vegas, Nevada, USA",Red,Welterweight,34.0,26.0,Orthodox,Orthodox,182.88,185.42,185.42,200.66,170.0,170.0,2,0,2,1,0,0
2736,Dan Miller,Trevor Smith,Kim Winslow,2015-07-12,"Las Vegas, Nevada, USA",Blue,Middleweight,34.0,34.0,Orthodox,Orthodox,185.42,190.5,187.96,190.5,185.0,185.0,3,0,6,6,2,3
2737,Chad Mendes,Conor McGregor,Herb Dean,2015-07-11,"Las Vegas, Nevada, USA",Blue,Featherweight,30.0,26.0,Orthodox,Southpaw,167.64,175.26,167.64,187.96,155.0,145.0,2,5,8,2,5,0
2738,Matt Brown,Tim Means,Marc Goddard,2015-07-11,"Las Vegas, Nevada, USA",Red,Welterweight,34.0,31.0,Orthodox,Orthodox,182.88,187.96,190.5,190.5,170.0,170.0,1,2,12,7,6,3
2739,Gunnar Nelson,Brandon Thatch,Herb Dean,2015-07-11,"Las Vegas, Nevada, USA",Red,Welterweight,26.0,29.0,Switch,Switch,180.34,187.96,182.88,187.96,170.0,170.0,4,2,4,1,2,1
2740,Robbie Lawler,Rory MacDonald,John McCarthy,2015-07-11,"Las Vegas, Nevada, USA",Red,Welterweight,33.0,25.0,Southpaw,Orthodox,180.34,182.88,187.96,193.04,170.0,170.0,3,1,10,4,9,2
2741,Cathal Pendred,John Howard,John McCarthy,2015-07-11,"Las Vegas, Nevada, USA",Blue,Welterweight,27.0,32.0,Orthodox,Orthodox,185.42,170.18,190.5,182.88,170.0,170.0,4,4,4,0,6,6
2742,Mike Swick,Alex Garcia,Herb Dean,2015-07-11,"Las Vegas, Nevada, USA",Blue,Welterweight,36.0,27.0,Orthodox,Orthodox,185.42,175.26,195.58,182.88,170.0,170.0,5,2,10,4,2,1
2743,Brad Pickett,Thomas Almeida,John McCarthy,2015-07-11,"Las Vegas, Nevada, USA",Blue,Bantamweight,36.0,23.0,Orthodox,Southpaw,167.64,170.18,172.72,177.8,145.0,135.0,0,2,4,5,2,0
2744,Dennis Bermudez,Jeremy Stephens,Marc Goddard,2015-07-11,"Las Vegas, Nevada, USA",Blue,Featherweight,28.0,29.0,Orthodox,Orthodox,167.64,175.26,167.64,180.34,145.0,155.0,0,0,7,2,10,10
2745,Neil Seery,Louis Smolka,Marc Goddard,2015-07-11,"Las Vegas, Nevada, USA",Blue,Flyweight,35.0,23.0,Orthodox,Orthodox,162.56,175.26,162.56,172.72,135.0,125.0,0,1,2,1,2,1
2746,Yosdenis Cedeno,Cody Pfister,Chris Tognoni,2015-07-11,"Las Vegas, Nevada, USA",Blue,Lightweight,30.0,24.0,Orthodox,Orthodox,172.72,177.8,175.26,185.42,155.0,155.0,0,0,1,2,0,1
2747,Cody Garbrandt,Henry Briones,Chris Tognoni,2015-07-11,"Las Vegas, Nevada, USA",Red,Bantamweight,24.0,34.0,Orthodox,Orthodox,172.72,172.72,165.1,175.26,135.0,135.0,1,1,1,0,1,0
2748,Steve Montgomery,Tony Sims,James Warring,2015-06-27,"Hollywood, Florida, USA",Blue,Welterweight,24.0,29.0,Southpaw,Southpaw,193.04,180.34,,177.8,155.0,185.0,0,0,0,0,0,0
2749,Santiago Ponzinibbio,Lorenz Larkin,Herb Dean,2015-06-27,"Hollywood, Florida, USA",Blue,Welterweight,28.0,28.0,Orthodox,Orthodox,182.88,180.34,185.42,182.88,170.0,170.0,0,0,2,1,2,4
2750,Antonio Carlos Junior,Eddie Gordon,Jorge Alonso,2015-06-27,"Hollywood, Florida, USA",Red,Middleweight,25.0,31.0,Orthodox,Orthodox,187.96,182.88,200.66,193.04,185.0,185.0,1,1,1,1,1,2
2751,Leandro Silva,Lewis Gonzalez,Jorge Alonso,2015-06-27,"Hollywood, Florida, USA",Red,Welterweight,29.0,27.0,Orthodox,Orthodox,175.26,177.8,182.88,,170.0,155.0,0,0,1,3,0,0
2752,Lyoto Machida,Yoel Romero,John McCarthy,2015-06-27,"Hollywood, Florida, USA",Blue,Middleweight,37.0,38.0,Southpaw,Southpaw,185.42,182.88,187.96,185.42,185.0,185.0,8,5,14,6,5,0
2753,Hacran Dias,Levan Makashvili,John McCarthy,2015-06-27,"Hollywood, Florida, USA",Red,Featherweight,31.0,26.0,Orthodox,Orthodox,172.72,172.72,175.26,172.72,145.0,155.0,1,1,2,2,1,0
2754,Thiago Santos,Steve Bosse,James Warring,2015-06-27,"Hollywood, Florida, USA",Red,Middleweight,31.0,33.0,Orthodox,Orthodox,187.96,180.34,193.04,182.88,205.0,205.0,0,0,2,2,0,0
2755,Alex Oliveira,Joe Merritt,Herb Dean,2015-06-27,"Hollywood, Florida, USA",Red,Welterweight,27.0,31.0,Orthodox,Orthodox,180.34,182.88,193.04,,170.0,170.0,0,0,1,1,0,0
2756,Danny Martinez,Sirwan Kakai,John McCarthy,2015-06-27,"Hollywood, Florida, USA",Blue,Bantamweight,30.0,25.0,Orthodox,Orthodox,167.64,165.1,170.18,,135.0,125.0,0,0,0,2,0,0
2757,Nick Hein,Lukasz Sajewski,Kevin Sataki,2015-06-20,"Berlin, Berlin, Germany",Red,Lightweight,31.0,24.0,Southpaw,Orthodox,167.64,172.72,167.64,180.34,155.0,155.0,1,0,1,1,0,0
2758,Joanna Jedrzejczyk,Jessica Penne,Marc Goddard,2015-06-20,"Berlin, Berlin, Germany",Red,WomenStrawweight,27.0,32.0,Orthodox,Orthodox,167.64,165.1,165.1,170.18,115.0,115.0,3,1,3,0,1,0
2759,Dennis Siver,Tatsuya Kawajiri,Leon Roberts,2015-06-20,"Berlin, Berlin, Germany",Blue,Featherweight,36.0,37.0,Orthodox,Orthodox,167.64,170.18,177.8,175.26,145.0,145.0,0,1,11,8,1,1
2760,Peter Sobotta,Steve Kennedy,Wolf Menninger,2015-06-20,"Berlin, Berlin, Germany",Red,Welterweight,28.0,32.0,Southpaw,Orthodox,182.88,180.34,190.5,,170.0,170.0,0,0,1,3,0,0
2761,Makwan Amirkhani,Masio Fullen,Leon Roberts,2015-06-20,"Berlin, Berlin, Germany",Red,Featherweight,26.0,28.0,Southpaw,Orthodox,177.8,177.8,182.88,177.8,145.0,145.0,1,1,1,0,1,0
2762,Mairbek Taisumov,Alan Patrick,Kevin Sataki,2015-06-20,"Berlin, Berlin, Germany",Red,Lightweight,26.0,31.0,Orthodox,Southpaw,175.26,180.34,185.42,187.96,155.0,155.0,1,2,3,1,2,0
2763,Alan Omer,Arnold Allen,Wolf Menninger,2015-06-20,"Berlin, Berlin, Germany",Blue,Featherweight,26.0,21.0,Orthodox,Southpaw,177.8,172.72,,177.8,145.0,145.0,0,0,0,1,0,0
2764,Niklas Backstrom,Noad Lahat,Marc Goddard,2015-06-20,"Berlin, Berlin, Germany",Blue,Featherweight,25.0,31.0,Orthodox,Orthodox,185.42,175.26,,175.26,145.0,145.0,1,0,1,1,1,1
2765,Scott Askham,Antonio Dos Santos,Leon Roberts,2015-06-20,"Berlin, Berlin, Germany",Red,Middleweight,27.0,26.0,Southpaw,Orthodox,190.5,177.8,190.5,,185.0,185.0,0,0,0,1,0,1
2766,Taylor Lapilus,Yuta Sasaki,Wolf Menninger,2015-06-20,"Berlin, Berlin, Germany",Red,Bantamweight,23.0,25.0,Southpaw,Southpaw,167.64,177.8,185.42,180.34,125.0,135.0,1,1,1,0,1,1
2767,Piotr Hallmann,Magomed Mustafaev,Kevin Sataki,2015-06-20,"Berlin, Berlin, Germany",Blue,Lightweight,27.0,26.0,Orthodox,Orthodox,175.26,172.72,180.34,180.34,155.0,155.0,1,0,2,2,0,0
2768,Alejandro Perez,Patrick Williams,Dan Miragliotta,2015-06-13,"Mexico City, Distrito Federal, Mexico",Blue,Bantamweight,25.0,33.0,Orthodox,Orthodox,167.64,172.72,170.18,185.42,135.0,145.0,1,0,1,0,0,1
2769,Henry Cejudo,Chico Camus,Mario Yamasaki,2015-06-13,"Mexico City, Distrito Federal, Mexico",Red,Flyweight,28.0,30.0,Orthodox,Orthodox,162.56,167.64,162.56,167.64,125.0,135.0,2,1,2,0,3,3
2770,Tecia Torres,Angela Hill,John McCarthy,2015-06-13,"Mexico City, Distrito Federal, Mexico",Red,WomenStrawweight,25.0,30.0,Orthodox,Orthodox,154.94,160.02,152.4,162.56,115.0,115.0,1,1,1,0,1,0
2771,Yair Rodriguez,Charles Rosa,Mario Yamasaki,2015-06-13,"Mexico City, Distrito Federal, Mexico",Red,Featherweight,22.0,28.0,Orthodox,Switch,180.34,175.26,180.34,175.26,145.0,145.0,1,0,1,0,1,1
2772,Gilbert Melendez,Eddie Alvarez,John McCarthy,2015-06-13,"Mexico City, Distrito Federal, Mexico",Blue,Lightweight,33.0,31.0,Orthodox,Orthodox,175.26,175.26,185.42,175.26,155.0,145.0,0,0,1,2,0,1
2773,Cain Velasquez,Fabricio Werdum,Herb Dean,2015-06-13,"Mexico City, Distrito Federal, Mexico",Blue,Heavyweight,32.0,37.0,Orthodox,Orthodox,185.42,193.04,195.58,195.58,231.0,240.0,7,0,11,1,7,2
2774,Kelvin Gastelum,Nate Marquardt,Dan Miragliotta,2015-06-13,"Mexico City, Distrito Federal, Mexico",Red,Middleweight,23.0,36.0,Southpaw,Orthodox,175.26,182.88,180.34,187.96,185.0,185.0,5,4,5,1,11,7
2775,Efrain Escudero,Drew Dober,Herb Dean,2015-06-13,"Mexico City, Distrito Federal, Mexico",Red,Lightweight,29.0,26.0,Orthodox,Southpaw,175.26,172.72,180.34,177.8,155.0,155.0,2,0,4,5,1,3
2776,Francisco Trevino,Johnny Case,John McCarthy,2015-06-13,"Mexico City, Distrito Federal, Mexico",Blue,Lightweight,33.0,25.0,Orthodox,Orthodox,175.26,177.8,177.8,182.88,155.0,155.0,1,2,1,0,2,0
2777,Gabriel Benitez,Clay Collard,Mario Yamasaki,2015-06-13,"Mexico City, Distrito Federal, Mexico",Red,Featherweight,26.0,22.0,Southpaw,Orthodox,172.72,180.34,180.34,185.42,145.0,155.0,1,0,1,0,1,1
2778,Augusto Montano,Cathal Pendred,Herb Dean,2015-06-13,"Mexico City, Distrito Federal, Mexico",Blue,Welterweight,30.0,27.0,Orthodox,Orthodox,185.42,185.42,185.42,190.5,170.0,170.0,1,3,1,0,3,0
2779,Tim Boetsch,Dan Henderson,John McCarthy,2015-06-06,"New Orleans, Louisiana, USA",Blue,Middleweight,34.0,44.0,Orthodox,Orthodox,182.88,180.34,187.96,187.96,185.0,185.0,1,2,9,7,7,7
2780,Francisco Rivera,Alex Caceres,Dan Miragliotta,2015-06-06,"New Orleans, Louisiana, USA",Red,Bantamweight,33.0,26.0,Orthodox,Southpaw,172.72,177.8,177.8,185.42,145.0,135.0,0,0,3,4,5,6
2781,Joe Soto,Anthony Birchak,John McCarthy,2015-06-06,"New Orleans, Louisiana, USA",Blue,Bantamweight,28.0,29.0,Orthodox,Orthodox,167.64,172.72,165.1,175.26,135.0,135.0,0,0,0,1,0,1
2782,Thiago Tavares,Brian Ortega,Dan Miragliotta,2015-06-06,"New Orleans, Louisiana, USA",Blue,Featherweight,30.0,24.0,Orthodox,Switch,170.18,172.72,177.8,175.26,145.0,145.0,2,0,9,6,0,1
2783,Dustin Poirier,Yancy Medeiros,John McCarthy,2015-06-06,"New Orleans, Louisiana, USA",Red,Lightweight,26.0,27.0,Southpaw,Orthodox,175.26,177.8,182.88,190.5,155.0,155.0,4,0,9,3,2,3
2784,Ben Rothwell,Matt Mitrione,Dan Miragliotta,2015-06-06,"New Orleans, Louisiana, USA",Red,Heavyweight,33.0,36.0,Orthodox,Switch,193.04,190.5,198.12,208.28,265.0,265.0,0,5,4,3,9,3
2785,Shawn Jordan,Derrick Lewis,Gabe Barahona,2015-06-06,"New Orleans, Louisiana, USA",Red,Heavyweight,30.0,30.0,Southpaw,Orthodox,182.88,190.5,190.5,200.66,260.0,260.0,1,2,5,3,3,1
2786,Brian Ebersole,Omari Akhmedov,Jordan Bass,2015-06-06,"New Orleans, Louisiana, USA",Blue,Welterweight,34.0,27.0,Southpaw,Orthodox,182.88,182.88,185.42,185.42,185.0,170.0,4,1,5,2,2,1
2787,Ricardo Abreu,Jake Collier,Jordan Bass,2015-06-06,"New Orleans, Louisiana, USA",Blue,Middleweight,31.0,26.0,Orthodox,Orthodox,180.34,190.5,,198.12,230.0,185.0,1,0,1,0,0,1
2788,Chris Wade,Christos Giagos,Robbie Scheureumann,2015-06-06,"New Orleans, Louisiana, USA",Red,Lightweight,27.0,25.0,Orthodox,Orthodox,177.8,177.8,177.8,180.34,155.0,155.0,2,0,2,0,1,1
2789,Jose Quinonez,Leonardo Morales,Robbie Scheureumann,2015-06-06,"New Orleans, Louisiana, USA",Red,Bantamweight,24.0,22.0,Southpaw,Southpaw,172.72,172.72,175.26,,135.0,135.0,0,0,0,1,0,1
2790,Joe Proctor,Justin Edwards,Myron Gaudet,2015-06-06,"New Orleans, Louisiana, USA",Red,Lightweight,29.0,32.0,Orthodox,Orthodox,177.8,177.8,182.88,177.8,155.0,155.0,1,0,3,2,2,4
2791,Wendell Oliveira Marques,Darren Till,Fernando Yamasaki,2015-05-30,"Goiania, Goias, Brazil",Blue,Welterweight,31.0,22.0,Orthodox,Southpaw,177.8,182.88,,187.96,185.0,170.0,0,0,0,1,0,0
2792,KJ Noons,Alex Oliveira,Mario Yamasaki,2015-05-30,"Goiania, Goias, Brazil",Blue,Welterweight,32.0,27.0,Orthodox,Orthodox,177.8,180.34,177.8,193.04,170.0,155.0,0,0,2,2,0,1
2793,Jussier Formiga,Wilson Reis,Camila Albuquerque,2015-05-30,"Goiania, Goias, Brazil",Red,Flyweight,30.0,30.0,Orthodox,Southpaw,165.1,162.56,170.18,165.1,125.0,125.0,0,1,3,2,3,1
2794,Francimar Barroso,Ryan Jimmo,Kevin MacDonald,2015-05-30,"Goiania, Goias, Brazil",Red,LightHeavyweight,35.0,33.0,Orthodox,Orthodox,185.42,185.42,190.5,185.42,205.0,205.0,1,1,1,1,3,3
